iter	RMSE
0	13.8330865
1	12.98548624
2	12.16965588
3	11.41247234
4	10.75307613
5	10.25770051
6	9.742340055
7	9.319827052
8	8.898316811
9	8.496148506
10	8.128305331
11	7.842053209
12	7.583913649
13	7.373657416
14	7.131786278
15	6.906335656
16	6.724660483
17	6.581572961
18	6.447212765
19	6.322997243
20	6.228844495
21	6.145836359
22	6.045978958
23	5.963750812
24	5.890977361
25	5.835114032
26	5.768823741
27	5.723541671
28	5.678218899
29	5.622260277
30	5.569536312
31	5.532450479
32	5.491844265
33	5.455200569
34	5.422135873
35	5.399369294
36	5.377540498
37	5.355539067
38	5.331550977
39	5.309528813
40	5.293883638
41	5.273706436
42	5.257168337
43	5.239529272
44	5.228790977
45	5.214803843
46	5.19407836
47	5.179119917
48	5.167976985
49	5.150369652
50	5.133655707
51	5.122209509
52	5.112117393
53	5.095377339
54	5.082204452
55	5.058574094
56	5.052715722
57	5.029573754
58	5.01160305
59	5.00517666
60	4.997632599
61	4.992076723
62	4.974326
63	4.965641477
64	4.961513057
65	4.95528575
66	4.943794174
67	4.928657296
68	4.92210983
69	4.906916614
70	4.894330156
71	4.890877817
72	4.87668715
73	4.868172071
74	4.859904595
75	4.845140169
76	4.836967297
77	4.828220645
78	4.81858894
79	4.809576855
80	4.809184732
81	4.801881232
82	4.793593556
83	4.781262576
84	4.769612821
85	4.75955853
86	4.748131322
87	4.746607494
88	4.732998535
89	4.722214608
90	4.71462246
91	4.707366129
92	4.695671604
93	4.688873755
94	4.684055427
95	4.667285118
96	4.662058341
97	4.656090062
98	4.652331057
99	4.648264154
