iter	Passed	Remaining
0	130	130216
1	132	66081
2	134	44578
3	136	33910
4	137	27423
5	139	23121
6	141	20039
7	143	17765
8	145	16035
9	147	14554
10	149	13468
11	152	12534
12	153	11623
13	154	10865
14	156	10272
15	157	9716
16	160	9253
17	162	8849
18	162	8409
19	163	8016
20	164	7667
21	165	7372
22	167	7128
23	169	6878
24	170	6665
25	171	6438
26	172	6220
27	173	6018
28	174	5831
29	175	5663
30	176	5502
31	176	5347
32	177	5201
33	178	5068
34	179	4940
35	179	4816
36	180	4708
37	181	4598
38	182	4492
39	182	4389
40	183	4292
41	184	4201
42	184	4113
43	185	4029
44	186	3947
45	186	3869
46	187	3795
47	187	3723
48	188	3656
49	189	3593
50	189	3532
51	190	3476
52	191	3420
53	192	3365
54	192	3312
55	193	3262
56	194	3212
57	194	3165
58	195	3117
59	196	3073
60	196	3028
61	197	2985
62	197	2943
63	198	2903
64	199	2863
65	199	2825
66	200	2789
67	200	2753
68	201	2718
69	202	2685
70	202	2652
71	203	2624
72	204	2594
73	204	2565
74	205	2540
75	206	2512
76	207	2485
77	207	2458
78	208	2431
79	209	2405
80	209	2379
81	210	2352
82	210	2328
83	211	2305
84	211	2281
85	212	2259
86	213	2237
87	213	2215
88	214	2194
89	215	2174
90	215	2153
91	216	2138
92	217	2120
93	218	2102
94	219	2087
95	219	2069
96	220	2052
97	221	2034
98	221	2017
99	222	2001
100	222	1984
101	223	1968
102	224	1951
103	224	1935
104	225	1920
105	225	1905
106	226	1890
107	227	1875
108	227	1861
109	228	1847
110	229	1835
111	229	1822
112	230	1809
113	231	1797
114	232	1786
115	232	1774
116	233	1761
117	233	1748
118	234	1735
119	234	1723
120	235	1711
121	236	1700
122	236	1688
123	237	1677
124	238	1666
125	238	1655
126	239	1644
127	239	1634
128	240	1622
129	240	1612
130	241	1603
131	242	1593
132	243	1584
133	243	1574
134	244	1565
135	245	1558
136	245	1548
137	246	1539
138	247	1530
139	247	1521
140	248	1512
141	248	1503
142	249	1494
143	250	1486
144	250	1477
145	251	1469
146	251	1461
147	252	1453
148	252	1444
149	253	1436
150	254	1430
151	255	1424
152	256	1417
153	256	1410
154	257	1404
155	258	1397
156	259	1391
