iter	Passed	Remaining
0	129	129816
1	130	65294
2	131	43734
3	132	32902
4	132	26383
5	133	22037
6	133	18932
7	133	16603
8	134	14796
9	134	13346
10	135	12160
11	135	11173
12	136	10355
13	137	9672
14	138	9076
15	139	8569
16	140	8103
17	140	7683
18	142	7370
19	143	7034
20	144	6713
21	144	6430
22	146	6220
23	147	5981
24	147	5769
25	148	5560
26	149	5370
27	149	5188
28	149	5021
29	150	4862
30	151	4729
31	152	4601
32	152	4474
33	153	4362
34	154	4252
35	154	4149
36	155	4051
37	156	3959
38	157	3871
39	157	3782
40	158	3698
41	158	3618
42	159	3541
43	159	3468
44	160	3397
45	160	3331
46	161	3266
47	161	3204
48	162	3144
49	162	3087
50	163	3034
51	163	2981
52	164	2932
53	164	2883
54	165	2836
55	165	2791
56	166	2747
57	166	2705
58	167	2664
59	167	2625
60	168	2587
61	169	2563
62	170	2531
63	170	2495
64	171	2461
65	171	2429
66	172	2397
67	172	2365
68	173	2335
69	173	2308
70	174	2280
71	174	2253
72	175	2226
73	175	2200
74	176	2174
75	176	2148
76	177	2124
77	177	2099
78	178	2076
79	178	2054
80	179	2032
81	179	2011
82	179	1986
83	180	1966
84	180	1946
85	181	1928
86	181	1909
87	182	1891
88	183	1873
89	183	1856
90	184	1841
91	185	1827
92	185	1810
93	186	1794
94	186	1778
95	187	1761
96	187	1746
97	188	1731
98	188	1715
99	189	1701
100	189	1687
101	189	1672
102	190	1659
103	191	1645
104	191	1632
105	192	1621
106	192	1608
107	193	1595
108	193	1583
109	194	1570
110	194	1558
111	195	1547
112	195	1536
113	196	1524
114	196	1515
115	197	1505
116	197	1493
117	198	1484
118	199	1479
119	200	1470
120	201	1460
121	201	1449
122	201	1439
123	202	1429
124	202	1419
125	203	1409
126	203	1399
127	204	1390
128	204	1382
129	205	1373
130	205	1365
131	206	1356
132	207	1349
133	207	1340
134	207	1332
135	208	1324
136	208	1315
137	209	1307
138	209	1299
139	210	1291
140	210	1283
141	210	1274
142	211	1266
143	211	1259
144	212	1251
145	212	1244
146	213	1237
147	213	1230
148	214	1223
149	214	1217
150	215	1213
151	216	1206
152	216	1199
153	217	1193
154	217	1186
155	218	1180
156	218	1174
157	219	1167
158	219	1161
159	220	1155
160	220	1148
161	220	1142
162	221	1136
163	221	1130
164	222	1125
165	222	1119
166	223	1113
167	223	1107
168	224	1102
169	224	1097
170	225	1092
171	225	1087
172	226	1081
173	226	1076
174	227	1070
175	227	1066
176	228	1061
177	228	1056
178	229	1051
179	229	1047
180	230	1043
181	231	1038
182	231	1033
183	231	1028
184	232	1023
185	232	1018
186	233	1014
187	234	1011
188	234	1007
189	235	1003
190	235	998
191	236	994
192	236	990
193	237	985
194	237	981
195	238	977
196	238	972
197	239	968
198	239	964
199	240	960
200	240	957
201	241	953
202	241	949
203	242	945
204	242	941
205	243	938
206	244	934
207	244	930
208	245	927
209	245	924
210	246	921
211	246	917
212	247	914
213	248	911
214	248	908
215	249	905
216	249	901
217	250	897
218	250	894
219	251	890
220	251	887
221	252	884
222	252	881
223	253	877
224	253	874
225	254	871
226	254	868
227	255	864
228	255	861
229	256	858
230	256	855
231	257	852
232	257	849
233	258	845
234	258	842
235	259	839
236	259	836
237	260	833
238	260	830
239	261	828
240	262	826
241	262	823
242	263	820
243	263	817
244	264	814
245	264	811
246	265	808
247	265	805
248	266	803
249	266	800
250	267	797
251	267	794
252	268	791
253	268	788
254	269	786
255	269	783
256	269	780
257	270	778
258	270	775
259	271	772
260	271	770
261	272	767
262	272	764
263	273	762
264	273	759
265	274	757
266	274	754
267	275	752
268	275	749
269	276	747
270	277	745
271	277	742
272	278	740
273	278	738
274	279	735
275	279	733
276	280	731
277	280	729
278	281	727
279	281	724
280	282	722
281	282	720
282	283	717
283	283	715
284	284	713
285	284	711
286	285	708
287	285	706
288	286	704
289	286	702
290	287	700
291	287	697
292	288	695
293	288	693
294	289	691
295	290	689
296	290	687
297	291	685
298	291	683
299	292	682
300	292	680
301	293	677
302	293	675
303	294	673
304	294	671
305	295	669
306	295	667
307	296	665
308	296	663
309	297	661
310	297	659
311	298	658
312	298	656
313	299	654
314	299	652
315	300	650
316	300	648
317	301	646
318	302	644
319	302	642
320	302	640
321	303	638
322	303	636
323	304	635
324	304	633
325	305	631
326	305	629
327	306	627
328	307	626
329	307	624
330	308	622
331	308	621
332	309	619
333	309	617
334	310	615
335	310	614
336	311	612
337	311	610
338	312	608
339	312	606
340	313	605
341	313	603
342	314	601
343	314	600
344	315	598
345	315	596
346	316	594
347	316	593
348	317	591
349	317	589
350	318	588
351	318	586
352	319	584
353	319	583
354	320	581
355	320	579
356	321	578
357	321	577
358	322	576
359	323	574
360	324	573
361	324	572
362	325	571
363	326	569
364	326	568
365	327	566
366	327	565
367	328	563
368	328	562
369	329	560
370	329	559
371	330	557
372	330	556
373	331	554
374	331	553
375	332	551
376	332	549
377	333	548
378	333	546
379	334	545
380	334	544
381	335	542
382	335	541
383	336	539
384	337	538
385	337	537
386	338	535
387	338	534
388	339	533
389	340	532
390	340	530
391	341	529
392	341	527
393	342	526
394	342	525
395	343	523
396	343	522
397	344	521
398	344	519
399	345	518
400	345	516
401	346	515
402	346	513
403	347	512
404	347	511
405	348	509
406	348	508
407	349	506
408	349	505
409	350	504
410	350	502
411	351	501
412	351	500
413	352	498
414	353	497
415	353	496
416	354	495
417	354	493
418	355	492
419	355	491
420	356	489
421	356	488
422	357	487
423	357	485
424	358	484
425	358	483
426	358	481
427	359	480
428	359	479
429	360	477
430	360	476
431	361	475
432	361	473
433	362	472
434	363	471
435	363	470
436	364	469
437	364	467
438	365	466
439	365	465
440	366	464
441	366	462
442	367	461
443	367	460
444	368	459
445	368	458
446	369	457
447	369	455
448	370	454
449	370	453
450	371	452
451	372	451
452	372	449
453	373	448
454	373	447
455	373	446
456	374	444
457	374	443
458	375	442
459	375	441
460	376	440
461	376	438
462	377	437
463	377	436
464	378	435
465	378	434
466	379	432
467	379	431
468	380	430
469	381	429
470	381	428
471	382	427
472	382	426
473	383	425
474	384	424
475	384	423
476	385	422
477	385	421
478	386	419
479	386	418
